entry,user,timestamp,xcoordinate,ycoordinate
0,12,7/13/2017 9:36,0.906835415,0.776483656
1,12,7/30/2017 15:23,0.928587101,0.804963535
2,12,5/5/2017 0:41,0.904091137,0.784043026
3,12,7/26/2017 6:10,0.906752306,0.804461476
4,12,5/22/2017 13:22,0.900641332,0.781682623
5,12,6/11/2017 13:05,0.899680346,0.790892536
6,8,7/13/2017 9:40,0.873765362,0.808706636
7,8,7/30/2017 15:23,0.913475725,0.789742473
8,8,5/5/2017 0:43,0.915255652,0.790685343
9,8,7/26/2017 6:12,0.916272927,0.785860147
10,8,5/22/2017 13:22,0.906846838,0.805806828
11,8,6/11/2017 13:06,0.905919248,0.811344341
12,9,7/13/2017 9:38,0.901493082,0.791248851
13,9,7/30/2017 15:27,0.90426412,0.797024127
14,9,5/5/2017 0:44,0.898657441,0.799971543
15,9,7/26/2017 6:10,0.885372377,0.780831426
16,9,5/22/2017 13:24,0.884461798,0.799251719
17,9,6/11/2017 13:05,0.926481046,0.802018501
18,37,7/13/2017 9:38,0.904266032,0.803248782
19,37,7/30/2017 15:27,0.904424552,0.792057115
20,37,5/5/2017 0:44,0.875620019,0.801346346
21,37,7/26/2017 6:13,0.900620964,0.810840044
22,37,5/22/2017 13:22,0.89472533,0.806605356
23,37,6/11/2017 13:06,0.911555941,0.784681159
24,49,6/8/2017 11:55,0.896705079,0.80167712
25,49,7/26/2017 8:27,0.895725088,0.790988754
26,49,7/6/2017 16:28,0.894769387,0.78390922
27,49,6/12/2017 7:32,0.88505307,0.794400956
28,49,5/6/2017 6:27,0.912029514,0.794156816
29,49,5/26/2017 4:37,0.905291991,0.797359652
30,49,6/27/2017 0:30,0.887943081,0.810355396
31,49,5/2/2017 3:25,0.910735881,0.791620152
32,1,6/8/2017 11:56,0.894200053,0.81190878
33,1,7/26/2017 8:31,0.916803054,0.775319594
34,1,7/6/2017 16:30,0.918575384,0.795928522
35,1,6/12/2017 7:32,0.912561944,0.803268604
36,1,5/6/2017 6:31,0.898574708,0.807674086
37,1,5/26/2017 4:40,0.886931935,0.812817848
38,1,6/27/2017 0:33,0.903069683,0.790823025
39,1,5/2/2017 3:26,0.892022599,0.806689447
40,99,6/8/2017 11:55,0.898780759,0.793080343
41,99,7/26/2017 8:27,0.900760327,0.809638846
42,99,7/6/2017 16:31,0.903383359,0.819992469
43,99,6/12/2017 7:33,0.892658871,0.804313649
44,99,5/6/2017 6:31,0.890464152,0.77164296
45,99,5/26/2017 4:40,0.882518951,0.805212144
46,99,6/27/2017 0:32,0.9070648,0.7786283
47,99,5/2/2017 3:27,0.888454184,0.814076056
48,46,6/8/2017 11:58,0.893472569,0.791926592
49,46,7/26/2017 8:28,0.897302211,0.783961943
50,46,7/6/2017 16:32,0.881988975,0.798647024
51,46,6/12/2017 7:32,0.914148839,0.790868189
52,46,5/6/2017 6:30,0.903624404,0.789827641
53,46,5/26/2017 4:38,0.886853184,0.795055222
54,46,6/27/2017 0:31,0.902028196,0.79439299
55,46,5/2/2017 3:27,0.899579587,0.811573658
56,67,6/8/2017 11:56,0.898172216,0.795628605
57,67,7/26/2017 8:30,0.916206408,0.799290127
58,67,7/6/2017 16:32,0.889211515,0.789612255
59,67,6/12/2017 7:34,0.907768393,0.787969554
60,67,5/6/2017 6:29,0.895003323,0.793518419
61,67,5/26/2017 4:38,0.900127317,0.792876745
62,67,6/27/2017 0:31,0.913097234,0.798804355
63,67,5/2/2017 3:25,0.901461047,0.801733434
64,52,6/8/2017 11:57,0.903416419,0.804139267
65,52,7/26/2017 8:28,0.90243537,0.776710947
66,52,7/6/2017 16:32,0.901288631,0.803707398
67,52,6/12/2017 7:35,0.900896136,0.803807021
68,52,5/6/2017 6:29,0.905143051,0.794206075
69,52,5/26/2017 4:38,0.894430138,0.808400537
70,52,6/27/2017 0:32,0.902555996,0.796343476
71,52,5/2/2017 3:26,0.891276252,0.770537882
72,62,6/8/2017 11:59,0.913270961,0.818342017
73,62,7/26/2017 8:29,0.898812048,0.802598397
74,62,7/6/2017 16:32,0.876728105,0.782260442
75,62,6/12/2017 7:32,0.904479136,0.787667841
76,62,5/6/2017 6:28,0.880174888,0.806817694
77,62,5/26/2017 4:41,0.900671449,0.792033576
78,62,6/27/2017 0:30,0.904381783,0.809963068
79,62,5/2/2017 3:28,0.916420803,0.800891916
80,13,7/12/2017 1:48,0.888101848,0.795182828
81,13,5/28/2017 1:04,0.914651884,0.804225922
82,13,6/20/2017 1:10,0.89886393,0.804955723
83,13,7/2/2017 18:47,0.895361834,0.79678443
84,13,7/15/2017 23:18,0.90909684,0.786790483
85,13,7/13/2017 15:15,0.892467613,0.789071745
86,72,7/12/2017 1:52,0.905907571,0.807589446
87,72,5/28/2017 1:07,0.900958646,0.802356562
88,72,6/20/2017 1:14,0.925047247,0.799269222
89,72,7/2/2017 18:50,0.898323165,0.806814275
90,72,7/15/2017 23:18,0.903777861,0.795492593
91,72,7/13/2017 15:15,0.90995417,0.802093502
92,1,7/12/2017 1:50,0.922240583,0.79715866
93,1,5/28/2017 1:06,0.897412659,0.805567085
94,1,6/20/2017 1:12,0.902416236,0.778280211
95,1,7/2/2017 18:50,0.909644236,0.799624602
96,1,7/15/2017 23:21,0.89827316,0.785457359
97,1,7/13/2017 15:17,0.896585497,0.807070814
98,10,7/12/2017 1:50,0.911545259,0.794818669
99,10,5/28/2017 1:06,0.90610198,0.808559595
100,10,6/20/2017 1:12,0.893095903,0.80807777
101,10,7/2/2017 18:49,0.880728882,0.802448077
102,10,7/15/2017 23:21,0.89857245,0.80230837
103,10,7/13/2017 15:19,0.888879859,0.827117825
104,15,7/12/2017 1:48,0.909425605,0.793215685
105,15,5/28/2017 1:04,0.897262752,0.786115829
106,15,6/20/2017 1:12,0.900800567,0.797765101
107,15,7/2/2017 18:50,0.895491793,0.800181459
108,15,7/15/2017 23:19,0.908734885,0.807231673
109,15,7/13/2017 15:15,0.887593515,0.816806219
110,95,5/21/2017 6:15,0.899616558,0.79774968
111,95,7/23/2017 19:44,0.888950473,0.812645983
112,95,6/17/2017 1:14,0.896136839,0.784478047
113,95,6/12/2017 5:52,0.911852291,0.791072572
114,95,5/11/2017 15:43,0.889923646,0.795219922
115,95,7/7/2017 19:11,0.890205589,0.789086684
116,1,5/21/2017 6:16,0.910711059,0.792532579
117,1,7/23/2017 19:48,0.905706637,0.786027533
118,1,6/17/2017 1:15,0.925830584,0.803235615
119,1,6/12/2017 5:56,0.89640766,0.797311057
120,1,5/11/2017 15:43,0.89571901,0.806528528
121,1,7/7/2017 19:11,0.898165778,0.795482757
122,89,5/21/2017 6:17,0.899622385,0.796883094
123,89,7/23/2017 19:46,0.902690489,0.799318296
124,89,6/17/2017 1:15,0.903029429,0.803833924
125,89,6/12/2017 5:53,0.900425233,0.799289261
126,89,5/11/2017 15:44,0.912665647,0.805447706
127,89,7/7/2017 19:14,0.912994154,0.795508841
128,13,5/22/2017 5:49,0.902353509,0.792601782
129,13,6/4/2017 18:41,0.896400529,0.799967145
130,13,7/29/2017 6:06,0.89012906,0.792222995
131,72,5/22/2017 5:50,0.89557644,0.795660258
132,72,6/4/2017 18:45,0.909056487,0.792717385
133,72,7/29/2017 6:06,0.89679063,0.791148442
134,1,5/22/2017 5:50,0.887158154,0.807623512
135,1,6/4/2017 18:45,0.902572386,0.800867639
136,1,7/29/2017 6:07,0.89218703,0.803663798
137,10,5/22/2017 5:51,0.88617982,0.803503339
138,10,6/4/2017 18:41,0.888317349,0.791732208
139,10,7/29/2017 6:08,0.887401989,0.801641712
140,15,5/22/2017 5:50,0.906167639,0.794888596
141,15,6/4/2017 18:45,0.905230235,0.800653049
142,15,7/29/2017 6:08,0.893396086,0.806412374
143,40,5/10/2017 3:48,0.895264156,0.80167202
144,40,7/5/2017 8:33,0.906050925,0.798896185
145,40,7/18/2017 5:43,0.886902386,0.777678387
146,40,5/18/2017 7:04,0.89659671,0.785112193
147,40,7/3/2017 16:13,0.884166339,0.802155755
148,40,7/24/2017 4:08,0.90609981,0.787540548
149,16,5/10/2017 3:52,0.89868661,0.793834059
150,16,7/5/2017 8:35,0.92069487,0.777036997
151,16,7/18/2017 5:47,0.893970246,0.795033261
152,16,5/18/2017 7:07,0.900582388,0.792662782
153,16,7/3/2017 16:13,0.900375694,0.79210406
154,16,7/24/2017 4:08,0.89129619,0.816330582
155,89,5/10/2017 3:52,0.891326938,0.786059378
156,89,7/5/2017 8:37,0.909518977,0.789826541
157,89,7/18/2017 5:44,0.895398852,0.790647281
158,89,5/18/2017 7:06,0.91487881,0.787690247
159,89,7/3/2017 16:15,0.881196598,0.776193666
160,89,7/24/2017 4:12,0.916397133,0.805635308
161,10,5/10/2017 3:48,0.902589574,0.803216355
162,10,7/5/2017 8:33,0.905148251,0.787319276
163,10,7/18/2017 5:46,0.88197488,0.798000697
164,10,5/18/2017 7:08,0.893595213,0.800185695
165,10,7/3/2017 16:14,0.907501179,0.793585192
166,10,7/24/2017 4:08,0.882507001,0.806269457
167,90,5/10/2017 3:50,0.917883875,0.782232438
168,90,7/5/2017 8:37,0.904576511,0.802325689
169,90,7/18/2017 5:45,0.894895073,0.779075752
170,90,5/18/2017 7:05,0.916367154,0.795908192
171,90,7/3/2017 16:17,0.903009808,0.774184577
172,90,7/24/2017 4:12,0.923028896,0.810462672
173,45,5/10/2017 3:51,0.905030283,0.791615353
174,45,7/5/2017 8:37,0.909797005,0.790289619
175,45,7/18/2017 5:43,0.908118907,0.796510913
176,45,5/18/2017 7:08,0.91447977,0.802375163
177,45,7/3/2017 16:15,0.89134097,0.798196214
178,45,7/24/2017 4:12,0.888952755,0.794587667
179,15,5/5/2017 13:15,0.869599863,0.802190457
180,15,7/10/2017 11:59,0.917994838,0.788531976
181,15,7/9/2017 16:36,0.900082199,0.809233316
182,15,6/15/2017 0:21,0.916067262,0.778545509
183,15,7/10/2017 17:08,0.910786808,0.809350135
184,96,5/5/2017 13:16,0.90399701,0.804343427
185,96,7/10/2017 11:59,0.91558365,0.798154995
186,96,7/9/2017 16:40,0.901331741,0.782430495
187,96,6/15/2017 0:24,0.907156855,0.787331956
188,96,7/10/2017 17:10,0.911665347,0.776140303
189,2,5/5/2017 13:15,0.916748198,0.791504085
190,2,7/10/2017 11:59,0.890272071,0.812881405
